"bufstr",b2450a3b046a4bd74a0a20cc714b0b0c3c0673f0,1440019914,8,19,32,51,72,84
"release-0.2",2911ad2a26ec711833afad04278f7ea219b98d58,1486962052,1,100,15,28,104,58,82
"master",b9f5ed514ec37917d9f20c6760edbfd837a8fda6,1486961026,2,6,16,29,50,58,82
