"jp/jorbacontrol",9b7a319b11bbee3657fc5c156267de9c24969994,1472702991,10,28,114
"lb/alloc\_improv",3a8e12ede3b9f80777d70f19692f38092ce1a2d2,1489535047,72,86,105,36
"jp/eigvals",1f49888366f95756e7b4ae1cb4d470ad3b11f799,1489555153,107,86,105,36
"jp/taylorseriespr97",96c5ca6a7ecf4e53855e9d0a2eb8653982cf7dd1,1490907856,74,88,105,106
"jp/metaprog",5cf558389e4e839d92e3bb46e014ebd736bee328,1489440639,72,85,102,36
"lb/complex\_vars",444b434b28d28a107af18d5b748b8eb8de263c53,1487017215,3,53,56,57
"lb/liap",ee4a453a629e42c8f3c79e23b304df8d5455336c,1478903107,3,5,21,35
"jp/halley",ab32b504a602b35fc6a2c71fa33f0040b35f123c,1489310306,112,81,100,36
"master",4f64929f224e24b2960029ab83258f2ccff85080,1487181202,3,6,22,36
