"jq/updates",23b827e2e2c47ab0202f771cbba7240924ec3d0f,1444188460,138,141,143,109
"0.5",ba067882156ef6e44fdbc476733f6983eef8268a,1491361645,4,9,26,44,96,111
"iss43",6643236f237b2cc2a12de1be26c1232d90fe1b91,1412724610,97,109
"jq/scalarfuncs",92bf3a30c6bea27b8e6ec3d1b2efa0d803dae6bf,1414022313,66,98,109
"quinnj-jq/scalarfuncs",2af4c4fa8277f43d63a8fa20ad3b167df63c5baf,1415199920,70,98,109
"iss50",f5b4876b2c26c88c75557517c1a1c500f598ea9f,1416141053,76,99,109
"userbind",ca6f50d42c14455ba1badeff508498344d65aaab,1414083696,98,109
"aggregates",ef1d1a9e544dbe5fa1be6bfb7d4eff5df166358e,1418560898,88,99,109
"gh-pages",1da73395f6ccabcc461259f37d1798f64dc8bcf2,1481911415,8,21,35,49,94,111
"UDFs",494fc0f5e68c0abefe591c32a2ed1872115c2b88,1413314561,65,98,109
"tutorials",d375e4cd56efca319b2eba872bef6677c4034153,1419853801,88,99,109
"jq/overhaul",8a835722bcf591c39b5db620dbb0eefcb9345469,1412378414,107
"window",53e13428379cc0997279a3c004a2da9f42ddd3fe,1441021434,136,89,100,109
"master",ad412a142a36a45436ec938e781bdc3295a99dc9,1493309919,6,9,27,44,96,111
