"fix-module-name",9019d3e81e94da49c539cd4f160169a6d637b3d7,1411070032,108,60,62,66,71,81,84,86,90,92,104
"fix-gausshermite-flipdim",670ae2242d785961db158ba572337098360f30d3,1470162903,1,3,19,42,43,51,58,75
"add-gausshermite-test",11fa150db7edd00b98185a568bceaf68ebb9e0e2,1461709728,1,3,19,42,43,49,58,75
"add-gauss-tests",11bfd921261ba1e4acf9cef03a28e32c5927b41f,1470595268,0,2,6,32,42,43,51,58,75
"fix-nonintegrable-gaussJacobi",6bf71092f9d8b49aac7d7a56708509c3b9b18b7d,1459025838,49,56,72
"fix-typos-gaussjacobi",0d04251d4b29b39aec72389fa0642676d6f70219,1459094244,42,43,49,57,73
"test-workflow",fdb37a988790983c4f951cf8e35b7f799b65704c,1459025249,107,56,72
"master",ada3e7d2c56cebded0a99744f607845974454c74,1473241474,0,2,17,40,42,43,51,58,77
