"fallback\_for\_reals",3b41daadb7cbb9f0e527327a09503988665d07e2,1460470817,13,34,50
"shadow\_MPFR",9e62839f507150d11f15e2d8f3cd735ef3bb4560,1444866481,11,29,47
"deprecations\_0\_5",6044bd07ccadc7c1ca0b283b4bf4bb5869ec28d3,1471895907,54,58,59
"windows",37e07fe985714c52e850e105076b2975df803db0,1462367167,52,35,50
"bump\_version",2f9bbcdfc3f4bc27873511140f4b3d4e1414d97c,1462294813,51,35,50
"fix\_precision\_function",4ef7e6fbd99402fd79e7288259ff568c8b5a1a3a,1460434529,13,31,48
"silent\_build",e7444ef75306df32d02f3dddd02ec8cbb0a14d69,1445892851,13,29,48
"setrounding",39eea56910eb18d3041c784c9caf1a4d0a0428b3,1456865039,13,30,48
"pull-request/67574177",67574177f25b6041c9047eb4479412b9a659ca5d,1460471902,13,35,50
"master",67574177f25b6041c9047eb4479412b9a659ca5d,1460471902,13,35,50
