"jq/updates",23b827e2e2c47ab0202f771cbba7240924ec3d0f,1444188460,120,123,125,91
"iss43",6643236f237b2cc2a12de1be26c1232d90fe1b91,1412724610,79,91
"jq/scalarfuncs",92bf3a30c6bea27b8e6ec3d1b2efa0d803dae6bf,1414022313,50,80,91
"iss50",f5b4876b2c26c88c75557517c1a1c500f598ea9f,1416141053,60,81,91
"quinnj-jq/scalarfuncs",2af4c4fa8277f43d63a8fa20ad3b167df63c5baf,1415199920,54,80,91
"userbind",ca6f50d42c14455ba1badeff508498344d65aaab,1414083696,80,91
"aggregates",ef1d1a9e544dbe5fa1be6bfb7d4eff5df166358e,1418560898,72,81,91
"jq/overhaul",8a835722bcf591c39b5db620dbb0eefcb9345469,1412378414,89
"gh-pages",5ff525d9565195d332bde7eefe4248ab9c67d7a5,1472846266,1,13,24,33,78,93
"tutorials",d375e4cd56efca319b2eba872bef6677c4034153,1419853801,72,81,91
"UDFs",494fc0f5e68c0abefe591c32a2ed1872115c2b88,1413314561,49,80,91
"window",53e13428379cc0997279a3c004a2da9f42ddd3fe,1441021434,118,73,82,91
"master",25531d331cad8486d4849601d5c1afc742fac621,1474409667,1,16,28,78,93
