"gh-pages",5732cfca3020b4adc217768944c47ed26f117d8a,1491152565
"feature/pipes",f492c42f06f24a7f3563e3e9aa4b0aac82ed3d85,1493170991,1,12,125,29,34,46,127,129,133,98,107,117
"expr-refactor",e808703f2a1b34fb4888704365ae947f4717a6a3,1489013198,124,1,12,17,28,34,46,52,72,85,95,107,114
"feature/bindeps",42a81f697545ce5d361e03f26cca65314462717a,1491418428,119,1,12,120,29,34,46,52,75,121,98,122,117
"master",6c7bfea54738d190ee1e7271529e6d25405fe335,1491150689,1,12,17,29,34,46,52,75,86,98,107,117
