"generic\_input",deb9d2ec4d7f0f7fb9df9a9b4f064712edfa6508,1472001487,5,7,40
"mutate",54e99fcaac34310aeb661e50a27b5308a8db5621,1474238697,0,49,7,51
"master",5439d60631b45e66345ca81520b207a7dc03ea8b,1487940053,0,6,7,48
