"dmb/nonzeromustart",5bdae7bd2ad6efdb8104eefdf6d96233d3bbaa3c,1466879256,29,116,261,262
"sjk/fit!",8aa48e9f238b0e68f4b3a36cc4933d4013a1787d,1443984567,21,115,139,147,168
"jmw/cleanup",a2bd85b737a6d23f02f8545a9273b3489997296d,1390249589,5,111,128,147,155,228
"sjk/fact-restructuring",3301dcdd6af9f1a5b36c65f8b24629913554b552,1444878528,259,115,139,147,260
"dataframes",44131fbda5a6cfc87c962045f1d06d2d9887299e,1396583885,0,8,112,130,147,258,233
"sjk/separation",a169baf25175168b9b4ddff8b0f4268ce850d746,1444092193,21,115,139,147,168
"jmw/coefnames",51cbb9d3f840760e058bc6a4c5e3805a4762c06e,1374104690,107,122,146,147,257,226
"julia-0.2",33229ff87b86acb1cdaa39b5e228469b0c78a8fd,1398450579,255,111,128,147,155,228
"db/customupdates",4d9399b559345b3926c74631019d645073b53bb0,1474648860,30,116,145,179
"master",4d9399b559345b3926c74631019d645073b53bb0,1474648860,30,116,145,179
