"cufft",402f1fa537772f12228a1dd7644fd00dba537c5b,1335970790,2,22,30,56,78
"typestuff",153140ba824123e6e22bce40edafdc8917ad1a33,1336744451,1,21,84,33,85,79
"elementwisekernels",28ef046f0ebe2c86740c49a0b1836169d8868f8b,1336256817,81,83,1,2,22,32,58,78
"master",8c066aeea71f432fb08854f1990560851367ce34,1336660593,1,21,23,33,60,79
