24,"main.jl",a6ac5b0fa75451a2b3777a670291d20247074ec0,1419397793,230840,23
23,"main.jl",9032ce8e103177b6568aa8ab23e35bb3350115ce,1418164246,230838,22
22,"main.jl",06c33e9d20649a79f1802418cdc9b89af4720a4e,1418081728,230836,21
21,"main.jl",48e6ce0cf7b1d2c09102a869e52f8db0f7ffb5f9,1418078865,230834,20
20,"main.jl",bc4474a6f88ae67eca9a8597843cf7155a940e8e,1418072932,230833,19
19,"main.jl",94a9261d5e025d6002ebf6c9310bac5e5f4d8b57,1417219853,230832,18
18,"main.jl",09eb57ab08783b055015f90e10cfc0386586b989,1417217466,230831,17
17,"main.jl",5c65bd553a7029b73fef04f8eaeb988119d2208b,1417212569,230830,-1
16,"Utils.jl",156bee737a8fed99b692829fe994c48ffcfa8986,1417386395,230828,15
15,"Utils.jl",5c65bd553a7029b73fef04f8eaeb988119d2208b,1417212569,230827,-1
14,"Model.jl",156bee737a8fed99b692829fe994c48ffcfa8986,1417386395,230825,13
13,"Model.jl",5c65bd553a7029b73fef04f8eaeb988119d2208b,1417212569,230824,-1
12,"Sampler0.jl",9032ce8e103177b6568aa8ab23e35bb3350115ce,1418164246,230821,11
11,"Sampler0.jl",06c33e9d20649a79f1802418cdc9b89af4720a4e,1418081728,230819,10
10,"Sampler0.jl",48e6ce0cf7b1d2c09102a869e52f8db0f7ffb5f9,1418078865,230816,9
9,"Sampler0.jl",bc4474a6f88ae67eca9a8597843cf7155a940e8e,1418072932,230814,8
8,"Sampler0.jl",156bee737a8fed99b692829fe994c48ffcfa8986,1417386395,230811,7
7,"Sampler0.jl",94a9261d5e025d6002ebf6c9310bac5e5f4d8b57,1417219853,230809,6
6,"Sampler0.jl",09eb57ab08783b055015f90e10cfc0386586b989,1417217466,230807,-1
5,"biased\_sampling.jl",1cb1c0cb286bcc15629c7bbd00432a8b8d028eb8,1417417702,230802,4
4,"biased\_sampling.jl",d385c46df262bc05bdeba4db0ac0370f9f38d9d8,1417417045,230800,3
3,"biased\_sampling.jl",39f75515f66d5fb5864c55fc8b1016eabb16f2fd,1417416466,230798,-1
2,"Sandbox/infer\_logx.jl",59da69f39712584c012086d40339e5c8d7c6e879,1417560218,230795,-1
1,"Sampler.jl",a6ac5b0fa75451a2b3777a670291d20247074ec0,1419397793,230791,-1
0,"Results.jl",a6ac5b0fa75451a2b3777a670291d20247074ec0,1419397793,230788,-1
