"gh-pages",ae84ec550d47a803ed2fd966b70c5272c3a97878,1488932027
"jr/mnist",58e6596fc76ec5a229d469c0b9326e8741239e79,1485188403,364,365,366,367,376,6,10,13,17,24,32,378,40,380,52,56,381,382,383,87,104,384,385,386,150,164,173,183,390,216,234,289,362
"master",09e74711b98ec8ccd06035cfdf6af61f50a530af,1489048170,0,1,2,3,7,12,13,22,26,32,37,42,49,54,57,65,72,80,89,105,121,131,142,152,166,175,185,201,216,236,290,363
