"Files","LOC","ParseFailures","type_decs","Subtyping","Functions","Modules","Project"
2,1843,0,12,17,6,3,195
53,7010,2,30,17,311,21,196
2,1843,0,12,17,5,3,197
5,1945,0,14,17,10,5,198
2,66,0,0,0,3,0,199
2,19,0,0,0,0,2,200
2,228,0,13,0,40,2,201
4,446,0,6,0,18,2,202
4,1174,0,9,13,45,3,203
2,134,0,2,1,5,1,204
11,2239,0,23,23,137,12,205
4,609,0,6,9,36,4,206
1,42,0,1,0,3,1,207
3,496,0,5,0,23,3,208
33,4010,0,16,260,182,7,209
1,68,0,1,10,1,0,210
24,3605,0,16,218,171,11,211
3,441,0,0,0,0,2,212
5,467,0,5,10,20,3,213
3,178,0,2,3,9,1,214
3,83,0,0,0,1,1,215
31,1503,0,8,8,47,3,216
2,101,0,1,3,4,0,217
0,0,0,0,0,0,0,218
8,313,0,2,10,21,1,219
2,318,0,2,4,18,2,220
4,642,0,4,2,29,3,221
12,1188,2,3,6,39,5,222
2,190,2,0,0,0,0,223
1,86,0,0,4,7,1,224
2,269,0,1,0,13,0,225
2,39,0,0,0,0,0,226
44,4294,4,18,488,111,2,227
2,279,0,0,0,4,0,228
6,751,2,1,1,11,1,229
3,437,0,11,2,2,0,230
1,27,0,0,0,1,0,231
2,180,0,3,0,8,1,232
2,60,0,2,0,2,1,233
5,162,0,0,0,0,0,234
3,598,0,3,37,31,0,235
4,1364,0,19,0,4,2,236
5,776,0,2,56,41,2,237
6,644,0,0,11,17,1,238
12,647,0,0,0,6,0,239
3,114,0,0,0,3,0,240
21,3246,1,58,53,151,1,241
2,81,0,0,0,2,0,242
4,193,0,0,0,0,0,243
21,2030,0,2,0,48,3,244
8,338,0,0,0,6,0,245
4,165,1,0,0,0,1,246
2,112,0,0,0,7,0,247
36,1843,0,1,2,33,2,248
2,490,0,1,0,9,0,249
0,0,0,0,0,0,0,250
2,484,0,1,0,8,0,251
3,451,0,1,0,7,1,252
10,780,0,1,2,10,2,253
0,0,0,0,0,0,0,254
3,230,1,0,0,2,0,255
2,1053,0,0,0,2,0,256
5,796,1,6,0,22,1,258
5,850,1,0,0,38,0,259
2,254,0,0,0,2,0,260
1,62,0,0,0,1,0,261
8,220,2,0,0,5,0,262
2,178,0,3,0,1,1,263
4,977,0,3,0,39,0,264
3,325,0,2,0,11,0,265
23,2684,0,45,64,98,5,266
1,101,0,0,0,1,0,267
58,4081,0,7,7,136,13,268
1,301,0,0,0,4,0,269
2,215,0,4,3,4,2,270
5,113,0,0,2,5,0,271
14,3288,3,8,1,28,1,272
22,1508,0,6,18,33,1,273
2,81,1,1,2,4,0,274
3,338,0,0,0,2,1,275
2,193,0,1,8,7,0,276
2,45,0,0,0,2,0,277
5,580,0,4,5,13,0,278
1,83,0,1,1,3,0,279
6,626,0,0,2,22,0,280
7,1468,0,39,173,12,0,281
1,60,1,0,0,0,0,282
2,378,1,0,0,0,0,283
6,191,3,0,0,0,0,284
1,51,1,0,0,0,0,285
16,4179,0,23,22,174,1,286
1,54,1,0,0,0,0,287
4,254,3,1,2,4,0,288
75,10337,0,27,127,347,9,289
2,102,0,2,4,3,0,290
9,1303,1,28,25,65,0,291
9,1548,3,4,10,24,1,292
1,117,0,1,5,6,0,293
3,770,0,7,46,35,0,294
3,211,0,2,3,10,0,295
1,24,0,0,1,0,0,296
17,238,0,5,5,8,1,297
3,384,0,6,18,9,0,298
2,75,0,2,3,0,0,299
7,365,1,2,22,12,0,300
2,316,0,0,0,10,0,301
14,1456,0,8,24,83,0,302
1,33,0,0,2,1,0,303
12,706,0,10,9,29,0,304
8,968,1,8,34,31,0,305
16,938,1,0,0,0,3,306
3,186,0,1,0,8,1,307
14,1559,0,2,0,12,0,308
4,544,0,0,0,0,4,309
3,421,0,0,0,0,3,310
2,130,0,0,0,0,0,311
2,359,0,0,0,0,2,312
125,19749,7,43,304,577,15,313
2,341,0,0,0,0,2,314
4,622,0,1,0,24,1,315
2,438,0,0,10,25,0,316
2,51,0,0,0,0,0,317
20,4069,2,10,20,155,5,318
10,3289,0,2,2,56,3,319
2,96,0,0,5,4,0,320
3,443,1,0,3,12,0,321
4,1277,1,0,0,19,0,322
3,757,0,1,0,16,0,323
63,9120,6,25,207,315,4,324
1,207,0,1,4,6,0,325
2,159,0,1,4,5,0,326
321,57767,12,543,1572,2244,28,327
43,16839,9,15,17,795,2,328
11,2936,1,5,30,126,2,329
4,310,0,3,0,5,1,330
2,153,0,0,0,4,0,331
30,5848,0,35,208,295,0,332
1,278,0,1,31,14,0,333
4,206,0,2,13,15,0,334
9,1400,0,17,12,90,0,335
4,490,0,34,9,4,0,336
1,98,0,0,0,0,0,337
5,790,0,0,10,41,0,338
16,2872,0,10,188,172,0,339
23,1274,2,5,29,22,0,340
10,866,1,4,1,33,1,341
1,106,0,0,0,0,0,342
21,1988,0,16,78,37,2,343
5,683,0,1,33,21,0,344
13,1312,0,3,69,44,0,345
16,2276,1,0,154,33,0,346
5,915,0,0,30,12,0,347
3,360,0,0,0,0,0,348
9,691,0,0,0,21,0,349
2,206,0,0,0,9,0,350
12,1480,0,5,48,92,1,351
26,2935,0,84,31,93,8,352
2,199,1,0,0,5,0,353
1,103,0,0,0,7,0,354
3,343,0,0,3,6,0,355
23,3830,0,15,119,198,8,356
6,1140,1,11,11,45,0,357
3,400,0,0,10,8,2,358
3,563,0,6,16,20,2,359
7,2084,0,0,28,33,0,360
2,76,0,0,0,0,0,361
6,2366,0,6,7,13,0,362
19,4594,1,30,25,80,1,363
4,1744,0,4,6,8,0,364
1,733,0,0,0,1,0,365
16,10789,8,5,49,126,2,366
4,2195,1,7,44,37,0,367
1,712,1,0,0,0,0,368
1,922,0,1,0,29,1,369
27,22968,0,17,182,726,10,370
33,28089,0,21,154,944,13,371
7,745,0,2,46,32,0,372
5,233,0,3,3,6,2,373
6,310,0,1,0,4,2,374
29,3189,1,30,86,110,2,375
19,3379,0,49,240,157,0,376
12,1265,0,10,43,48,0,377
2,103,0,1,2,1,0,378
1,185,0,0,9,9,0,379
1,193,0,0,12,10,0,380
4,205,0,0,0,0,0,381
7,952,0,14,54,45,0,382
1,285,0,2,14,17,0,383
24,3487,2,43,164,129,3,384
21,434,0,0,0,2,0,385
3,745,0,3,41,35,0,386
4,513,1,6,29,20,0,387
9,1799,0,136,224,43,3,388
12,1439,0,9,74,73,0,389
3,502,1,0,22,6,0,390
4,1157,1,0,37,14,0,391
66,12782,3,134,267,299,15,392
44,8955,4,7,377,203,1,393
2,353,2,0,0,0,0,394
28,7820,0,3,242,138,1,395
12,304,0,0,0,11,0,396
6,691,0,0,58,20,0,397
2,208,0,0,0,0,1,398
2,207,0,0,1,12,0,399
4,560,1,1,11,4,0,400
3,91,0,0,0,1,0,401
2,363,0,4,6,27,1,402
4,82,0,0,0,0,3,403
10,1094,0,23,21,45,3,404
7,1799,0,29,22,49,5,405
1,158,0,0,0,13,0,406
4,908,0,13,10,30,0,407
116,13995,3,131,220,496,25,408
65,14850,3,252,286,313,23,409
11,318,0,0,4,3,5,410
2,205,0,0,0,6,1,411
4,1827,1,0,4,89,1,412
9,4202,0,10,11,195,1,413
20,4332,1,6,442,96,6,414
3,2329,0,12,208,69,0,415
2,1228,0,5,1,38,0,416
63,3063,0,75,77,68,20,417
4,831,0,4,3,47,1,418
12,6626,0,22,236,183,1,419
16,2107,3,5,17,28,3,420
8,4917,1,12,5,95,1,421
33,19277,4,70,14,438,6,422
3,1857,0,6,0,79,3,423
0,0,0,0,0,0,0,424
5,2720,0,0,3,41,0,425
10,5242,1,8,10,94,1,426
3,265,0,0,0,9,0,427
2,267,0,2,1,8,0,428
23,3716,0,8,2,183,2,429
28,8271,0,41,74,408,17,430
21,5847,0,5,7,140,8,431
12,10309,0,6,12,599,9,432
5,1531,0,10,16,62,4,433
2,393,0,0,4,17,2,434
1,430,0,0,0,18,1,435
2,114,0,0,0,0,0,436
2,4076,0,2,0,226,2,437
8,18715,0,7,45,1183,7,438
8,18715,0,7,45,1183,7,439
4,370,0,1,9,9,1,440
2,2975,0,2,10,182,1,441
3,2490,0,4,7,145,2,442
1,2836,0,4,3,120,1,443
3,3014,0,0,0,10,0,444
8,10552,0,13,19,548,3,445
2,383,0,0,0,32,0,446
23,12192,4,21,12,507,10,447
2,171,0,0,0,2,0,448
16,1729,1,2,31,146,1,449
17,15574,3,41,2,454,9,450
12,698,0,13,10,23,1,451
14,14019,2,28,0,511,7,452
10,14898,4,24,12,609,6,453
4,2673,1,4,0,97,1,454
10,11443,5,16,12,459,4,455
26,46696,2,61,64,1679,14,456
19,16965,0,27,28,690,7,457
6,6964,0,16,18,279,2,458
21,11052,1,7,0,103,3,459
12,2326,1,5,16,37,7,460
2,197,0,0,0,5,1,461
4,7308,2,0,0,4,0,462
23,31697,5,29,33,54,1,463
4,297,2,0,0,3,1,464
12,23304,3,10,16,77,1,465
2,570,0,9,10,55,0,466
6,15792,2,1,1,33,0,467
23,33907,5,107,4,1127,7,468
9,28945,1,139,5,1311,5,469
4,1150,1,0,0,52,0,470
5,8510,0,45,6,442,2,471
6,409,0,4,1,14,1,472
2,1115,1,0,0,8,0,473
12,13490,2,42,3,524,2,474
3,3973,1,22,2,235,1,475
5,4466,0,30,29,235,1,476
2,840,0,0,0,20,0,477
24,17883,0,91,36,943,6,478
18,4175,1,13,16,101,10,479
39,15527,3,63,63,771,11,480
