"fix-module-name",9019d3e81e94da49c539cd4f160169a6d637b3d7,1411070032,121,73,75,79,84,94,97,99,103,105,117
"fix-gausshermite-flipdim",670ae2242d785961db158ba572337098360f30d3,1470162903,2,5,23,49,51,60,69,88
"add-gausshermite-test",11fa150db7edd00b98185a568bceaf68ebb9e0e2,1461709728,2,5,23,49,51,58,69,88
"add-gauss-tests",11bfd921261ba1e4acf9cef03a28e32c5927b41f,1470595268,0,3,8,36,49,51,60,69,88
"fix-nonintegrable-gaussJacobi",6bf71092f9d8b49aac7d7a56708509c3b9b18b7d,1459025838,58,67,85
"fix-typos-gaussjacobi",0d04251d4b29b39aec72389fa0642676d6f70219,1459094244,49,51,58,68,86
"test-workflow",fdb37a988790983c4f951cf8e35b7f799b65704c,1459025249,120,67,85
"master",c76e9f210201ee49ed4ada44afb0975302222102,1491375036,1,4,21,47,50,52,62,71,90
